Name,m,lambda,theta,x_shift,y_shift,x_0,y_0
SierpinskiGasket,3,1/2,0,0,0,0,0
,,1/2,0,1,0,,
,,1/2,0,1/2,sqrt(3)/2,,
SierpinskiCarpet,8,1/3,0,0,0,0,0
,,1/3,0,1/3,0,,
,,1/3,0,2/3,0,,
,,1/3,0,0,1/3,,
,,1/3,0,0,2/3,,
,,1/3,0,1/3,2/3,,
,,1/3,0,2/3,1/3,,
,,1/3,0,2/3,2/3,,
KochSnowflake,6,1/3,0,0,2/3,0,1
,,1/3,0,1/sqrt(3),1/3,,
,,1/3,0,-1/sqrt(3),1/3,,
,,1/3,0,-1/sqrt(3),-1/3,,
,,1/3,0,1/sqrt(3),-1/3,,
,,1/3,0,0,-2/3,,
Disjoint_Pairs,2,0.13/cos(atan(-0.64/0.13)),atan(-0.64/0.13),0,0,0,0
,,0.13/cos(atan(-0.64/0.13)),atan(-0.64/0.13),1,0,,
Stretched_Square,4,1/2,0,1,1,2,2
,,1/2,0,1,2,,
,,1/2,0,2,1,,
,,1/2,0,3,3,,
My_Snowflake,8,1/2,0,0,2,0,0
,,1/2,pi/8,0,2,,
,,1/2,2*pi/8,0,2,,
,,1/2,3*pi/8,0,2,,
,,1/2,4*pi/8,0,2,,
,,1/2,5*pi/8,0,2,,
,,1/2,6*pi/8,0,2,,
,,1/2,7*pi/8,0,2,,
Heighway_Dragon,2,1/sqrt(2),pi/4,0,0,0,0
,,1/sqrt(2),3*pi/4,1,0,,
Heighway_Dragon_2,2,1/sqrt(2),pi/4,0,0,0,0
,,1/sqrt(2),pi/4,1,0,,
Twin_Dragon, 2,1/sqrt(2),pi/4,0,0,0,0
,,1/sqrt(2),pi/4,1/2,-1/2,,
Levy_Dragon,2,1/sqrt(2),pi/4,0,0,0,0
,,1/sqrt(2),-pi/4,1/2,1/2,,
Terdragon,3,1/sqrt(3),pi/6,0,0,0,0
,,1/sqrt(3),-pi/2,1/2,sqrt(3)/6,,
,,1/sqrt(3),pi/6,1/2,-sqrt(3)/6,,
Fudgeflake,3,1/sqrt(3),pi/6,0,0,0,0
,,1/sqrt(3),pi/6,1/2,sqrt(3)/6,,
,,1/sqrt(3),pi/6,1/2,-sqrt(3)/6,,
Golden_Dragon,2,((sqrt(5)-1)/2)^((sqrt(5)-1)/2), 32.893818*pi/180,0,0,0,0
,,((sqrt(5)-1)/2)^(sqrt(5)-1), 133.0140178*pi/180,1,0,,
Golden_Dragon_Z2,4,((sqrt(5)-1)/2)^((sqrt(5)-1)/2), 32.893818*pi/180,0,0,0,0
,,((sqrt(5)-1)/2)^(sqrt(5)-1), 133.0140178*pi/180,1,0,,
,,((sqrt(5)-1)/2)^((sqrt(5)-1)/2), -147.106*pi/180,0,0,,
,,((sqrt(5)-1)/2)^(sqrt(5)-1), -46.986*pi/180,-1,0,,
SierpinskiPentagon,5,(3-sqrt(5))/2,0,0,0,0,0
,,(3-sqrt(5))/2,0,0.618,0,,
,,(3-sqrt(5))/2,0,0.809,0.588,,
,,(3-sqrt(5))/2,0,0.309,0.951,,
,,(3-sqrt(5))/2,0,-0.191,0.588,,
Pentadentrite,6,sqrt((6-sqrt(5))/31),11.81858573*pi/180,0,0,0,0
,,sqrt((6-sqrt(5))/31),(11.81858573+72)*pi/180,0.341,0.071,,
,,sqrt((6-sqrt(5))/31),11.81858573*pi/180,0.379,0.418,,
,,sqrt((6-sqrt(5))/31),(11.81858573-144)*pi/180,0.720,0.489,,
,,sqrt((6-sqrt(5))/31),(11.81858573-72)*pi/180,0.486,0.231,,
,,sqrt((6-sqrt(5))/31),11.81858573*pi/180,0.659,-0.071,,
Pythagorean_Tree, 3, 1, 0, 0, 0, -1, 4
,,cos(pi/4),pi/4,0,1,,
,,sin(pi/4),(pi/4)-(pi/2),(cos(pi/4))^2,1+cos(pi/4)*sin(pi/4),,
Binary_Tree, 2,2/3,pi/4,0,1,-1.289975,1.024759
,,1/2,-pi/4,0,1,,
Fibonacci_Snowflake_Var, 5, 1/3, 0, 0, 0, 0, 0
,, 1/3, 0, -3/2, 3/2,,
,,1/3, 0, 3/2, 3/2,,
,,1/3, 0, -3/2, -3/2,,
,, 1/3, 0, 3/2,-3/2,,
Fibonacci_Snowflake, 5, 1/2, 0, 0, 0,0,0
,, 1/8, 0, 1, 1,,
,, 1/8, 0, 1, -1,,
,, 1/8, 0, -1, 1,,
,, 1/8, 0, -1, -1,,

